Câu hỏi,Trả lời,Thủ tục liên quan
Tôi muốn công chứng hợp đồng thuê nhà nhưng tôi không biết ký. Trường hợp của tôi phải thực hiện thế nào?,"Khoản 2 Điều 48 Luật công chứng quy định về việc ký, điểm chỉ trong văn bản công chứng như sau:Việc điểm chỉ được thay thế việc ký trong trường hợp người yêu cầu công chứng, người làm chứng, người phiên dịch không ký được do khuyết tật hoặc không biết ký. Khi điểm chỉ, người yêu cầu công chứng, người làm chứng, người phiên dịch sử dụng ngón trỏ phải; nếu không điểm chỉ được bằng ngón trỏ phải thì điểm chỉ bằng ngón trỏ trái; trường hợp không thể điểm chỉ bằng hai ngón trỏ đó thì điểm chỉ bằng ngón khác và phải ghi rõ việc điểm chỉ đó bằng ngón nào, của bàn tay nào.Căn cứ vào quy định trên thì bạn có thể công chứng hợp đồng thuê nhà. Công chứng viên sẽ hướng dẫn bạn cách điểm chỉ vào hợp đồng bảo đảm phù hợp với quy định của pháp luật, bảo đảm quyền và lợi ích hợp pháp của bạn.","Công chứng hợp đồng ủy quyền, Công chứng hợp đồng, giao dịch do công chứng viên soạn thảo theo đề nghị của người yêu cầu công chứng, Công chứng hợp đồng, giao dịch soạn thảo sẵn"
Mẫu giấy phép xây dựng cho công trình ngầm quy định ở Thông tư nào?,Phụ lục số 4 (mẫu 2) Thông tư số 15/2016/TT-BXD ngày 30/6/2016 của Bộ Xây dựng hướng dẫn về cấp giấy phép xây dựng.,"Cấp giấy phép xây dựng mới đối với công trình cấp I, II; công trình tôn giáo; công trình di tích lịch sử - văn hóa, tượng đài, tranh hoành tráng được xếp hạng; công trình trên các tuyến, trục đường phố chính trong đô thị; công trình thuộc dự án có vốn đầu tư trực tiếp nước ngoài"
Đề nghị Bộ Xây dựng hướng dẫn tôi thành phần hồ sơ đề nghị cấp giấy phép xây dựng đối với trường hợp xây dựng mới công trình của các tổ chức quốc tế tại Việt Nam bao gồm những tài liệu gì?,"Theo quy định tại Khoản 7 Điều 8 Thông tư số 15/2016/TT-BXD ngày 30/6/2016 của Bộ Xây dựng hướng dẫn về cấp giấy phép xây dựng thì hồ sơ bao gồm:1. Đơn đề nghị cấp giấy phép xây dựng theo mẫu tại Phụ lục số 1 Thông tư này;2. Bản sao hoặc tệp tin chứa bản chụp chính một trong những giấy tờ chứng minh quyền sử dụng đất theo quy định của pháp luật về đất đai. Trường hợp đối với công trình xây dựng trạm, cột phát sóng tại khu vực không thuộc nhóm đất có mục đích sử dụng cho xây dựng, không chuyển đổi được mục đích sử dụng đất thì nộp bản sao hoặc tệp tin chứa bản chụp chính văn bản chấp thuận về địa điểm xây dựng của Ủy ban nhân dân cấp huyện; 3. Bản sao hoặc tệp tin chứa bản chụp chính hai bộ bản vẽ thiết kế kỹ thuật hoặc thiết kế bản vẽ thi công được phê duyệt theo quy định của pháp luật về xây dựng, mỗi bộ gồm:- Bản vẽ mặt bằng vị trí công trình trên lô đất tỷ lệ 1/100 - 1/500, kèm theo sơ đồ vị trí công trình;- Bản vẽ các mặt bằng, các mặt đứng và mặt cắt chủ yếu của công trình, tỷ lệ 1/50 - 1/200; - Bản vẽ mặt bằng móng tỷ lệ 1/100 - 1/200 và mặt cắt móng tỷ lệ 1/50, kèm theo sơ đồ đấu nối với hệ thống hạ tầng kỹ thuật về giao thông; cấp nước; thoát nước mưa, nước bẩn; xử lý nước thải; cấp điện; thông tin liên lạc; các hệ thống hạ tầng kỹ thuật khác liên quan đến công trình tỷ lệ 1/50 - 1/200.4. Thực hiện theo các điều khoản quy định của Hiệp định hoặc thoả thuận đã được ký kết với Chính phủ Việt Nam.","Cấp giấy phép xây dựng mới đối với công trình cấp I, II; công trình tôn giáo; công trình di tích lịch sử - văn hóa, tượng đài, tranh hoành tráng được xếp hạng; công trình trên các tuyến, trục đường phố chính trong đô thị; công trình thuộc dự án có vốn đầu tư trực tiếp nước ngoài"
"Tôi có công trình xây dựng không theo tuyến cấp I, vậy đề nghị Bộ Xây dựng hướng dẫn tôi thành phần hồ sơ đề nghị cấp giấy phép xây dựng giai đoạn 2 bao gồm những tài liệu gì?","Theo quy định tại Khoản 1 Điều 9 Thông tư số 15/2016/TT-BXD ngày 30/6/2016 của Bộ Xây dựng hướng dẫn về cấp giấy phép xây dựng thì hồ sơ bao gồm:1. Đơn đề nghị cấp giấy phép xây dựng theo mẫu tại Phụ lục số 1 Thông tư này;2. Bản sao hoặc tệp tin chứa bản chụp chính một trong những giấy tờ chứng minh quyền sử dụng đất theo quy định của pháp luật về đất đai. Trường hợp đối với công trình xây dựng trạm, cột phát sóng tại khu vực không thuộc nhóm đất có mục đích sử dụng cho xây dựng, không chuyển đổi được mục đích sử dụng đất thì nộp bản sao hoặc tệp tin chứa bản chụp chính văn bản chấp thuận về địa điểm xây dựng của Ủy ban nhân dân cấp huyện; 3. Bản sao hoặc tệp tin chứa bản chụp chính hai bộ bản vẽ thiết kế kỹ thuật hoặc thiết kế bản vẽ thi công được phê duyệt theo quy định của pháp luật về xây dựng, mỗi bộ gồm:- Giai đoạn 2:+ Bản vẽ các mặt bằng, các mặt đứng và mặt cắt chính giai đoạn 2 của công trình tỷ lệ 1/50 - 1/200;","Cấp giấy phép xây dựng mới đối với công trình cấp I, II; công trình tôn giáo; công trình di tích lịch sử - văn hóa, tượng đài, tranh hoành tráng được xếp hạng; công trình trên các tuyến, trục đường phố chính trong đô thị; công trình thuộc dự án có vốn đầu tư trực tiếp nước ngoài"
Điều kiện chủ yếu để được cấp giấy phép xây dựng đối với công trình không theo tuyến ngoài đô thị là gì?,Điều kiện để cấp giấy phép xây dựng đối với công trình không theo tuyến ngoài đô thị được quy định tại Điều 92 Luật Xây dựng.,"Cấp giấy phép xây dựng mới đối với công trình cấp I, II; công trình tôn giáo; công trình di tích lịch sử - văn hóa, tượng đài, tranh hoành tráng được xếp hạng; công trình trên các tuyến, trục đường phố chính trong đô thị; công trình thuộc dự án có vốn đầu tư trực tiếp nước ngoài"
Giấy chứng nhận quyền sở hữu nhà ở và quyền sử dụng đất ở được cấp theo quy định tại Nghị định số 61/CP ngày 05 tháng 7 năm 1994 của Chính phủ về mua bán và kinh doanh nhà ở có được coi là giấy tờ hợp pháp về đất đai để cấp giấy phép xây dựng không?,Theo quy định tại Điều 3 Nghị định số 53/2017/NĐ-CP ngày 08/5/2017 của Chính phủ quy định các loại giấy tờ hợp pháp về đất đai để cấp giấy phép xây dựng thì Giấy chứng nhận quyền sở hữu nhà ở và quyền sử dụng đất ở được cấp theo quy định tại Nghị định số 61/CP ngày 05 tháng 7 năm 1994 của Chính phủ về mua bán và kinh doanh nhà ở được coi là giấy tờ hợp pháp về đất đai để cấp giấy phép xây dựng.,"Cấp giấy phép xây dựng mới đối với công trình cấp I, II; công trình tôn giáo; công trình di tích lịch sử - văn hóa, tượng đài, tranh hoành tráng được xếp hạng; công trình trên các tuyến, trục đường phố chính trong đô thị; công trình thuộc dự án có vốn đầu tư trực tiếp nước ngoài"
Mẫu Đơn đề nghị cấp giấy phép xây dựng cho công trình theo tuyến trong đô thị tôi lấy làm theo hướng dẫn ở đâu?,Phụ lục số 1 Thông tư số 15/2016/TT-BXD ngày 30/6/2016 của Bộ Xây dựng hướng dẫn về cấp giấy phép xây dựng.,"Cấp giấy phép xây dựng mới đối với công trình cấp I, II; công trình tôn giáo; công trình di tích lịch sử - văn hóa, tượng đài, tranh hoành tráng được xếp hạng; công trình trên các tuyến, trục đường phố chính trong đô thị; công trình thuộc dự án có vốn đầu tư trực tiếp nước ngoài"
Mẫu Đơn đề nghị cấp giấy phép xây dựng cho công trình tranh hoành tráng tôi lấy làm theo hướng dẫn ở đâu?,Phụ lục số 1 Thông tư số 15/2016/TT-BXD ngày 30/6/2016 của Bộ Xây dựng hướng dẫn về cấp giấy phép xây dựng.,"Cấp giấy phép xây dựng mới đối với công trình cấp I, II; công trình tôn giáo; công trình di tích lịch sử - văn hóa, tượng đài, tranh hoành tráng được xếp hạng; công trình trên các tuyến, trục đường phố chính trong đô thị; công trình thuộc dự án có vốn đầu tư trực tiếp nước ngoài"
Mẫu giấy phép xây dựng cấp cho nhà ở riêng lẻ quy định ở Thông tư nào?,Phụ lục số 4 (mẫu 7) Thông tư số 15/2016/TT-BXD ngày 30/6/2016 của Bộ Xây dựng hướng dẫn về cấp giấy phép xây dựng.,"Cấp GPXD đối với công trình, nhà ở riêng lẻ XD trong đô thị, trung tâm cụm xã, trong khu bảo tồn, khu di tích lịch sử- văn hóa thuộc địa bàn quản lý, trừ các công trình thuộc thẩm quyền cấp GPXD của cấp trung ương, cấp tỉnh"
Đề nghị Bộ Xây dựng hướng dẫn tôi thành phần hồ sơ đề nghị cấp giấy phép xây dựng đối với trường hợp xây dựng mới công trình theo tuyến trong đô thị bao gồm những tài liệu gì?,"Theo quy định tại Khoản 2 Điều 8 Thông tư số 15/2016/TT-BXD ngày 30/6/2016 của Bộ Xây dựng hướng dẫn về cấp giấy phép xây dựng thì hồ sơ bao gồm:1. Đơn đề nghị cấp giấy phép xây dựng theo mẫu tại Phụ lục số 1 Thông tư này;2. Bản sao hoặc tệp tin chứa bản chụp chính một trong những giấy tờ chứng minh quyền sử dụng đất theo quy định của pháp luật về đất đai hoặc văn bản chấp thuận của cơ quan nhà nước có thẩm quyền về vị trí và phương án tuyến. 3. Bản sao hoặc tệp tin chứa bản chụp chính Quyết định thu hồi đất của cơ quan nhà nước có thẩm quyền theo quy định của pháp luật về đất đai;4. Bản sao hoặc tệp tin chứa bản chụp chính hai bộ bản vẽ thiết kế kỹ thuật hoặc thiết kế bản vẽ thi công được phê duyệt theo quy định của pháp luật về xây dựng, mỗi bộ gồm:- Sơ đồ vị trí tuyến công trình tỷ lệ 1/100 - 1/500;- Bản vẽ mặt bằng tổng thể hoặc bản vẽ bình đồ công trình tỷ lệ 1/500 - 1/5000;- Bản vẽ các mặt cắt ngang chủ yếu của tuyến công trình tỷ lệ 1/50 - 1/200; - Riêng đối với công trình ngầm phải bổ sung thêm:+ Bản vẽ các mặt cắt ngang, các mặt cắt dọc thể hiện chiều sâu công trình tỷ lệ 1/50 - 1/200;+ Sơ đồ đấu nối với hệ thống hạ tầng kỹ thuật ngoài công trình tỷ lệ 1/100 - 1/500.","Cấp giấy phép xây dựng mới đối với công trình cấp I, II; công trình tôn giáo; công trình di tích lịch sử - văn hóa, tượng đài, tranh hoành tráng được xếp hạng; công trình trên các tuyến, trục đường phố chính trong đô thị; công trình thuộc dự án có vốn đầu tư trực tiếp nước ngoài"
"Giấy chứng nhận quyền sở hữu nhà ở, Giấy chứng nhận quyền sở hữu công trình xây dựng đã được cấp theo quy định tại Pháp lệnh Nhà ở năm 1991 có được coi là giấy tờ hợp pháp về đất đai để cấp giấy phép xây dựng không?","Theo quy định tại Điều 3 Nghị định số 53/2017/NĐ-CP ngày 08/5/2017 của Chính phủ quy định các loại giấy tờ hợp pháp về đất đai để cấp giấy phép xây dựng thì Giấy chứng nhận quyền sở hữu nhà ở, Giấy chứng nhận quyền sở hữu công trình xây dựng đã được cấp theo quy định tại Pháp lệnh Nhà ở năm 1991 được coi là giấy tờ hợp pháp về đất đai để cấp giấy phép xây dựng.","Cấp giấy phép xây dựng mới đối với công trình cấp I, II; công trình tôn giáo; công trình di tích lịch sử - văn hóa, tượng đài, tranh hoành tráng được xếp hạng; công trình trên các tuyến, trục đường phố chính trong đô thị; công trình thuộc dự án có vốn đầu tư trực tiếp nước ngoài"
"Giấy chứng nhận quyền sở hữu nhà ở, Giấy chứng nhận quyền sở hữu công trình xây dựng đã được cấp theo quy định tại Nghị định số 95/2005/NĐ-CP ngày 15 tháng 07 năm 2005 của Chính phủ về việc cấp giấy chứng nhận quyền sở hữu nhà ở, quyền sở hữu công trình xây dựng có được coi là giấy tờ hợp pháp về đất đai để cấp giấy phép xây dựng không?","Theo quy định tại Điều 3 Nghị định số 53/2017/NĐ-CP ngày 08/5/2017 của Chính phủ quy định các loại giấy tờ hợp pháp về đất đai để cấp giấy phép xây dựng thì Giấy chứng nhận quyền sở hữu nhà ở, Giấy chứng nhận quyền sở hữu công trình xây dựng đã được cấp theo quy định tại Nghị định số 95/2005/NĐ-CP ngày 15 tháng 07 năm 2005 của Chính phủ về việc cấp giấy chứng nhận quyền sở hữu nhà ở, quyền sở hữu công trình xây dựng được coi là giấy tờ hợp pháp về đất đai để cấp giấy phép xây dựng.","Cấp giấy phép xây dựng mới đối với công trình cấp I, II; công trình tôn giáo; công trình di tích lịch sử - văn hóa, tượng đài, tranh hoành tráng được xếp hạng; công trình trên các tuyến, trục đường phố chính trong đô thị; công trình thuộc dự án có vốn đầu tư trực tiếp nước ngoài"
"Giấy tờ về việc xếp hạng di tích lịch sử - văn hóa, danh lam thắng cảnh đối với trường hợp cấp giấy phép xây dựng để thực hiện xây dựng mới, sửa chữa, cải tạo hoặc di dời các công trình di tích lịch sử - văn hóa, danh lam thắng cảnh nhưng chưa được cấp giấy chứng nhận quyền sử dụng đất, quyền sở hữu nhà ở và tài sản khác gắn liền với đất theo quy định tại Điều 27 Nghị định số 43/2014/NĐ-CP ngày 15 tháng 5 năm 2014 của Chính phủ quy định chi tiết thi hành một số điều của Luật Đất đai có được coi là giấy tờ hợp pháp về đất đai để cấp giấy phép xây dựng không?","Theo quy định tại Điều 3 Nghị định số 53/2017/NĐ-CP ngày 08/5/2017 của Chính phủ quy định các loại giấy tờ hợp pháp về đất đai để cấp giấy phép xây dựng thì Giấy tờ về việc xếp hạng di tích lịch sử - văn hóa, danh lam thắng cảnh đối với trường hợp cấp giấy phép xây dựng để thực hiện xây dựng mới, sửa chữa, cải tạo hoặc di dời các công trình di tích lịch sử - văn hóa, danh lam thắng cảnh nhưng chưa được cấp giấy chứng nhận quyền sử dụng đất, quyền sở hữu nhà ở và tài sản khác gắn liền với đất theo quy định tại Điều 27 Nghị định số 43/2014/NĐ-CP ngày 15 tháng 5 năm 2014 của Chính phủ quy định chi tiết thi hành một số điều của Luật Đất đai được coi là giấy tờ hợp pháp về đất đai để cấp giấy phép xây dựng.","Cấp giấy phép xây dựng mới đối với công trình cấp I, II; công trình tôn giáo; công trình di tích lịch sử - văn hóa, tượng đài, tranh hoành tráng được xếp hạng; công trình trên các tuyến, trục đường phố chính trong đô thị; công trình thuộc dự án có vốn đầu tư trực tiếp nước ngoài"
"Văn bản của cơ quan nhà nước có thẩm quyền cho phép chuyển đổi mục đích sử dụng đất đối với trường hợp người sử dụng đất đã có giấy tờ hợp pháp về đất đai theo quy định tại các khoản 1, 2, 3, 4 và 5 Điều 3 Nghị định số 53/2017/NĐ-CP ngày 08/5/2017 nhưng đề nghị được cấp giấy phép xây dựng sử dụng vào mục đích khác với mục đích sử dụng đất đã được ghi trên giấy tờ đó có được coi là giấy tờ hợp pháp về đất đai để cấp giấy phép xây dựng không?","Theo quy định tại Điều 3 Nghị định số 53/2017/NĐ-CP ngày 08/5/2017 của Chính phủ quy định các loại giấy tờ hợp pháp về đất đai để cấp giấy phép xây dựng thì Văn bản của cơ quan nhà nước có thẩm quyền cho phép chuyển đổi mục đích sử dụng đất đối với trường hợp người sử dụng đất đã có giấy tờ hợp pháp về đất đai theo quy định tại các khoản 1, 2, 3, 4 và 5 Điều 3 Nghị định số 53/2017/NĐ-CP ngày 08/5/2017 nhưng đề nghị được cấp giấy phép xây dựng sử dụng vào mục đích khác với mục đích sử dụng đất đã được ghi trên giấy tờ đó được coi là giấy tờ hợp pháp về đất đai để cấp giấy phép xây dựng.","Cấp giấy phép xây dựng mới đối với công trình cấp I, II; công trình tôn giáo; công trình di tích lịch sử - văn hóa, tượng đài, tranh hoành tráng được xếp hạng; công trình trên các tuyến, trục đường phố chính trong đô thị; công trình thuộc dự án có vốn đầu tư trực tiếp nước ngoài"
Mẫu Đơn đề nghị cấp giấy phép xây dựng cho công trình không theo tuyến tôi lấy làm theo hướng dẫn ở đâu?,Phụ lục số 1 Thông tư số 15/2016/TT-BXD ngày 30/6/2016 của Bộ Xây dựng hướng dẫn về cấp giấy phép xây dựng.,"Cấp giấy phép xây dựng mới đối với công trình cấp I, II; công trình tôn giáo; công trình di tích lịch sử - văn hóa, tượng đài, tranh hoành tráng được xếp hạng; công trình trên các tuyến, trục đường phố chính trong đô thị; công trình thuộc dự án có vốn đầu tư trực tiếp nước ngoài"
Mẫu Đơn đề nghị cấp giấy phép xây dựng cho công trình nhà ở riêng lẻ tôi lấy làm theo hướng dẫn ở đâu?,Phụ lục số 1 Thông tư số 15/2016/TT-BXD ngày 30/6/2016 của Bộ Xây dựng hướng dẫn về cấp giấy phép xây dựng.,"Cấp GPXD đối với công trình, nhà ở riêng lẻ XD trong đô thị, trung tâm cụm xã, trong khu bảo tồn, khu di tích lịch sử- văn hóa thuộc địa bàn quản lý, trừ các công trình thuộc thẩm quyền cấp GPXD của cấp trung ương, cấp tỉnh"
Mẫu giấy phép xây dựng cho công trình không theo tuyến quy định ở Thông tư nào?,Phụ lục số 4 (mẫu 1) Thông tư số 15/2016/TT-BXD ngày 30/6/2016 của Bộ Xây dựng hướng dẫn về cấp giấy phép xây dựng.,"Cấp giấy phép xây dựng mới đối với công trình cấp I, II; công trình tôn giáo; công trình di tích lịch sử - văn hóa, tượng đài, tranh hoành tráng được xếp hạng; công trình trên các tuyến, trục đường phố chính trong đô thị; công trình thuộc dự án có vốn đầu tư trực tiếp nước ngoài"
"Mẫu giấy phép sửa chữa, cải tạo nhà ở quy định ở Thông tư nào?",Phụ lục số 4 (mẫu 8) Thông tư số 15/2016/TT-BXD ngày 30/6/2016 của Bộ Xây dựng hướng dẫn về cấp giấy phép xây dựng.,"Cấp giấy phép sửa chữa, cải tạo đối với công trình, nhà ở riêng lẻ XD trong đô thị, trung tâm cụm xã, trong khu bảo tồn, khu di tích lịch sử- văn hóa thuộc địa bàn quản lý, trừ các công trình thuộc thẩm quyền cấp GPXD của cấp trung ương, cấp tỉnh"
Mẫu giấy phép xây dựng có thời hạn cho công trình quy định ở Thông tư nào?,Phụ lục số 4 (mẫu 10) Thông tư số 15/2016/TT-BXD ngày 30/6/2016 của Bộ Xây dựng hướng dẫn về cấp giấy phép xây dựng.,"Cấp giấy phép xây dựng mới công trình cấp đặc biệt (bao gồm giấy phép xây dựng mới, giấy phép sửa chữa, cải tạo, giấy phép di dời công trình), Cấp giấy phép xây dựng mới đối với công trình cấp I, II; công trình tôn giáo; công trình di tích lịch sử - văn hóa, tượng đài, tranh hoành tráng được xếp hạng; công trình trên các tuyến, trục đường phố chính trong đô thị; công trình thuộc dự án có vốn đầu tư trực tiếp nước ngoài, Cấp GPXD đối với công trình, nhà ở riêng lẻ XD trong đô thị, trung tâm cụm xã, trong khu bảo tồn, khu di tích lịch sử- văn hóa thuộc địa bàn quản lý, trừ các công trình thuộc thẩm quyền cấp GPXD của cấp trung ương, cấp tỉnh"
Đề nghị Bộ Xây dựng hướng dẫn tôi thành phần hồ sơ đề nghị cấp giấy phép xây dựng đối với trường hợp xây dựng mới công trình không theo tuyến bao gồm những tài liệu gì?,"Theo quy định tại Khoản 1 Điều 8 Thông tư số 15/2016/TT-BXD ngày 30/6/2016 của Bộ Xây dựng hướng dẫn về cấp giấy phép xây dựng thì hồ sơ bao gồm:1. Đơn đề nghị cấp giấy phép xây dựng theo mẫu tại Phụ lục số 1 Thông tư này;2. Bản sao hoặc tệp tin chứa bản chụp chính một trong những giấy tờ chứng minh quyền sử dụng đất theo quy định của pháp luật về đất đai. Trường hợp đối với công trình xây dựng trạm, cột phát sóng tại khu vực không thuộc nhóm đất có mục đích sử dụng cho xây dựng, không chuyển đổi được mục đích sử dụng đất thì nộp bản sao hoặc tệp tin chứa bản chụp chính văn bản chấp thuận về địa điểm xây dựng của Ủy ban nhân dân cấp huyện; 3. Bản sao hoặc tệp tin chứa bản chụp chính hai bộ bản vẽ thiết kế kỹ thuật hoặc thiết kế bản vẽ thi công được phê duyệt theo quy định của pháp luật về xây dựng, mỗi bộ gồm:- Bản vẽ mặt bằng vị trí công trình trên lô đất tỷ lệ 1/100 - 1/500, kèm theo sơ đồ vị trí công trình;- Bản vẽ các mặt bằng, các mặt đứng và mặt cắt chủ yếu của công trình, tỷ lệ 1/50 - 1/200; - Bản vẽ mặt bằng móng tỷ lệ 1/100 - 1/200 và mặt cắt móng tỷ lệ 1/50, kèm theo sơ đồ đấu nối với hệ thống hạ tầng kỹ thuật về giao thông; cấp nước; thoát nước mưa, nước bẩn; xử lý nước thải; cấp điện; thông tin liên lạc; các hệ thống hạ tầng kỹ thuật khác liên quan đến công trình tỷ lệ 1/50 - 1/200.","Cấp giấy phép xây dựng mới đối với công trình cấp I, II; công trình tôn giáo; công trình di tích lịch sử - văn hóa, tượng đài, tranh hoành tráng được xếp hạng; công trình trên các tuyến, trục đường phố chính trong đô thị; công trình thuộc dự án có vốn đầu tư trực tiếp nước ngoài"
Công trình xây dựng không theo tuyến cấp I có được cấp giấy phép theo giai đoạn không?,Theo quy định tại Khoản 1 Điều 9 Thông tư số 15/2016/TT-BXD ngày 30/6/2016 của Bộ Xây dựng hướng dẫn về cấp giấy phép xây dựng thì Công trình xây dựng không theo tuyến cấp I có được cấp giấy phép theo giai đoạn.,"Cấp giấy phép xây dựng mới đối với công trình cấp I, II; công trình tôn giáo; công trình di tích lịch sử - văn hóa, tượng đài, tranh hoành tráng được xếp hạng; công trình trên các tuyến, trục đường phố chính trong đô thị; công trình thuộc dự án có vốn đầu tư trực tiếp nước ngoài"
"Tôi có công trình xây dựng không theo tuyến cấp I, vậy đề nghị Bộ Xây dựng hướng dẫn tôi thành phần hồ sơ đề nghị cấp giấy phép xây dựng theo giai đoạn bao gồm những tài liệu gì?","Theo quy định tại Khoản 1 Điều 9 Thông tư số 15/2016/TT-BXD ngày 30/6/2016 của Bộ Xây dựng hướng dẫn về cấp giấy phép xây dựng thì hồ sơ bao gồm:1. Đơn đề nghị cấp giấy phép xây dựng theo mẫu tại Phụ lục số 1 Thông tư này;2. Bản sao hoặc tệp tin chứa bản chụp chính một trong những giấy tờ chứng minh quyền sử dụng đất theo quy định của pháp luật về đất đai. Trường hợp đối với công trình xây dựng trạm, cột phát sóng tại khu vực không thuộc nhóm đất có mục đích sử dụng cho xây dựng, không chuyển đổi được mục đích sử dụng đất thì nộp bản sao hoặc tệp tin chứa bản chụp chính văn bản chấp thuận về địa điểm xây dựng của Ủy ban nhân dân cấp huyện; 3. Bản sao hoặc tệp tin chứa bản chụp chính hai bộ bản vẽ thiết kế kỹ thuật hoặc thiết kế bản vẽ thi công được phê duyệt theo quy định của pháp luật về xây dựng, mỗi bộ gồm:- Giai đoạn 1:+ Bản vẽ mặt bằng công trình trên lô đất tỷ lệ 1/100 - 1/500, kèm theo sơ đồ vị trí công trình;+ Bản vẽ mặt bằng móng tỷ lệ 1/100 - 1/200 và mặt cắt móng tỷ lệ 1/50, bản vẽ mặt bằng, mặt cắt chính của phần công trình đã được phê duyệt trong giai đoạn 1 tỷ lệ 1/50 - 1/200 kèm theo sơ đồ đấu nối với hệ thống hạ tầng kỹ thuật, gồm: Giao thông, thoát nước mưa, xử lý nước thải, cấp nước, cấp điện, thông tin liên lạc tỷ lệ 1/100 - 1/200.- Giai đoạn 2:+ Bản vẽ các mặt bằng, các mặt đứng và mặt cắt chính giai đoạn 2 của công trình tỷ lệ 1/50 - 1/200;","Cấp giấy phép xây dựng mới đối với công trình cấp I, II; công trình tôn giáo; công trình di tích lịch sử - văn hóa, tượng đài, tranh hoành tráng được xếp hạng; công trình trên các tuyến, trục đường phố chính trong đô thị; công trình thuộc dự án có vốn đầu tư trực tiếp nước ngoài"
Mẫu giấy phép xây dựng theo giai đoạn của công trình không theo tuyến quy định ở Thông tư nào?,Phụ lục số 4 (mẫu 4) Thông tư số 15/2016/TT-BXD ngày 30/6/2016 của Bộ Xây dựng hướng dẫn về cấp giấy phép xây dựng.,"Cấp giấy phép xây dựng mới đối với công trình cấp I, II; công trình tôn giáo; công trình di tích lịch sử - văn hóa, tượng đài, tranh hoành tráng được xếp hạng; công trình trên các tuyến, trục đường phố chính trong đô thị; công trình thuộc dự án có vốn đầu tư trực tiếp nước ngoài"
"Mẫu giấy phép sửa chữa, cải tạo công trình quy định ở Thông tư nào?",Phụ lục số 4 (mẫu 8) Thông tư số 15/2016/TT-BXD ngày 30/6/2016 của Bộ Xây dựng hướng dẫn về cấp giấy phép xây dựng.,"Cấp giấy phép sửa chữa, cải tạo công trình cấp đặc biệt, Cấp giấy phép xây dựng mới công trình cấp đặc biệt (bao gồm giấy phép xây dựng mới, giấy phép sửa chữa, cải tạo, giấy phép di dời công trình), Cấp giấy phép sửa chữa, cải tạo đối với công trình cấp I, II; công trình tôn giáo; công trình di tích lịch sử - văn hóa, tượng đài, tranh hoành tráng được xếp hạng; công trình trên các tuyến, trục đường phố chính trong đô thị; công trình thuộc dự án có vốn đầu tư trực tiếp nước ngoài"
Đề nghị Bộ Xây dựng hướng dẫn tôi thành phần hồ sơ đề nghị cấp giấy phép xây dựng theo giai đoạn đối với công trình theo tuyến trong đô thị bao gồm những tài liệu gì?,"Theo quy định tại Khoản 2 Điều 9 Thông tư số 15/2016/TT-BXD ngày 30/6/2016 của Bộ Xây dựng hướng dẫn về cấp giấy phép xây dựng thì hồ sơ bao gồm:1. Đơn đề nghị cấp giấy phép xây dựng theo mẫu tại Phụ lục 1 Thông tư này;2. Bản sao hoặc tệp tin chứa bản chụp chính một trong những giấy tờ chứng minh quyền sử dụng đất theo quy định của pháp luật về đất đai hoặc văn bản chấp thuận của cơ quan nhà nước có thẩm quyền về vị trí và phương án tuyến;3. Bản sao hoặc tệp tin chứa bản chụp chính Quyết định thu hồi đất của cơ quan nhà nước có thẩm quyền phần đất thực hiện theo giai đoạn hoặc cả dự án theo quy định của pháp luật về đất đai;4. Bản sao hoặc tệp tin chứa bản chụp chính hai bộ bản vẽ thiết kế kỹ thuật hoặc thiết kế bản vẽ thi công được phê duyệt theo quy định của pháp luật về xây dựng, mỗi bộ gồm:- Sơ đồ vị trí tuyến công trình tỷ lệ 1/100 - 1/500;- Bản vẽ mặt bằng tổng thể hoặc bản vẽ bình đồ công trình tỷ lệ 1/500 - 1/5000;- Các bản vẽ theo từng giai đoạn:+ Bản vẽ các mặt cắt ngang chủ yếu của tuyến công trình theo giai đoạn tỷ lệ 1/50 - 1/200; + Đối với công trình ngầm yêu cầu phải có bản vẽ các mặt cắt ngang, các mặt cắt dọc thể hiện chiều sâu công trình theo từng giai đoạn tỷ lệ 1/50 - 1/200;+ Sơ đồ đấu nối với hệ thống hạ tầng kỹ thuật theo từng giai đoạn tỷ lệ 1/100 - 1/500.","Cấp giấy phép xây dựng mới đối với công trình cấp I, II; công trình tôn giáo; công trình di tích lịch sử - văn hóa, tượng đài, tranh hoành tráng được xếp hạng; công trình trên các tuyến, trục đường phố chính trong đô thị; công trình thuộc dự án có vốn đầu tư trực tiếp nước ngoài"
Công trình nhà ở riêng lẻ ở nông thôn có phải xin giấy phép xây dựng không?,"Theo quy định tại Điểm k Khoản 2 Điều 89 Luật Xây dựng thì nhà ở riêng lẻ ở nông thôn, trừ nhà ở riêng lẻ xây dựng trong khu bảo tồn, khu di tích lịch sử - văn hóa thuộc đối tượng miễn giấy phép xây dựng.","Cấp GPXD đối với công trình, nhà ở riêng lẻ XD trong đô thị, trung tâm cụm xã, trong khu bảo tồn, khu di tích lịch sử- văn hóa thuộc địa bàn quản lý, trừ các công trình thuộc thẩm quyền cấp GPXD của cấp trung ương, cấp tỉnh"
